Domanda;A;B;C;D;Risposta
B 11. Secondo il rapporto OCSE sulla salute in UE spende per l’assistenza sanitaria in percentuale sul suo PIL;tra il 10 e 11%;Tra 8 e 10%;piu del 12%;Tra 5 e 8%;B
B 12. Nell’ambito della medicina d’urgenza quali novità potrebbe portare l’introduzione dell’IA;nessuna novità;può ostacolare l’accettazione del paziente richiedendo di inserire molte informazioni;può definire meglio le priorità di triage e fornire rapidamente informazioni sulla storia clinica del paziente;è in grado di formulare diagnosi senza l’intervento del medico;C
"B 13. Cosa caratterizza gli ""interventi adattivi just-in-time""?";Forniscono supporto solo in determinati momenti della giornata;Si concentrano solo sulla regolazione del dosaggio dei farmaci;Sono progetti statici che non si adattano alle esigenze individuali;Si adattano ai mutevoli stati interni e contestuali di un individuo regolando il tipo e il livello di supporto;D
B 14. qual è l’aspetto più interessante dell’uso dell'intelligenza artificiale nella medicina cardiovascolare?;Solo la valutazione più rapida dei pazienti;Solo la diagnosi di malattie cardiovascolari;Solo la previsione della malattia coronarica attraverso il calcolo del rischio a 10 anni;La capacità di elaborare automaticamente immagini cardiache;D
B 15. Qual è l’impatto dell’IA sulla ricerca di nuovi farmaci rispetto ai modelli tradizionali modelli ?;Positivo , ma non può valutare la tossicità di nuove molecole;permette di prevedere le potenzialità curative di nuovi farmaci basandosi sui big data;nessun impatto significativo;aumenta i costi della ricerca;B
B 16. n che modo l'intelligenza artificiale contribuisce alla sorveglianza epidemiologica digitale?;Creando sensori biologici;Organizzando eventi di prevenzione;Integrando sorveglianza basata su casi ed eventi attraverso diverse fonti di dati;Sviluppando nuove classificazioni mediche;C
B 17. In che modo l'IA può contribuire alla codifica delle informazioni mediche?;Sostituendo completamente i professionisti della salute;Organizzando attività di prevenzione contro le malattie;Migliorando l'accuratezza e la trasparenza del processo di codifica;Creando nuove classificazioni mediche;C
B 18. La proliferazione di applicazioni di IA medica facilmente accessibili è un problema?;No , perché sono chiare le responsabilità e gli standard etici di chi produce queste applicazioni;No, perché aumenta la consapevolezza dell'IA nella società;Sì perché non ci sono informazioni sufficienti sullo sviluppo e la convalida degli algoritmi;No, perché migliora la qualità della diagnosi;C
B 19. Come può essere ridotto il rischio di errori di intelligenza artificiale e problemi di sicurezza per i pazienti?;Aumentando l'autonomia degli algoritmi di intelligenza artificiale;Eliminando completamente il coinvolgimento umano nei processi di sviluppo;Standardizzando le procedure di valutazione e approvazione normativa;Riducendo l'interazione umana con l'IA;C
B 20. qual è il significato di pregiudizio algoritmico;Un algoritmo che discrimina gruppi dii pazienti sulla base dei dati;Un algoritmo che riduce le disparità nei tassi di diagnosi tra gruppi etnici;Un algoritmo che fornisce cure migliori alle persone con assicurazione sanitaria pubblica;Un algoritmo che discrimina gruppi dii pazienti in base a pregiudizi introdotti dai progettisti di i IA;D
B 21. Perché i dispositivi medici basati sull'IA potrebbero essere classificati come ad alto rischio secondo la proposta di regolamentazione?;A causa di problemi di sicurezza e privacy associati;A causa della natura dinamica delle tecnologie di intelligenza artificiale;A causa della complessità matematica degli algoritmi utilizzati;A causa della mancanza di requisiti specifici per l'IA nell'assistenza sanitaria;B
B 22. Qual è uno degli aspetti etici più discussi nell'implementazione dell'Intelligenza Artificiale?;La riduzione dei costi operativi;L'automazione dei processi lavorativi;La trasparenza e l'interpretabilità dei modelli;La velocità di apprendimento degli algoritmi;C
B 23. Qual è uno degli ostacoli legati all'uso dell'IA in campo medico?;Aumento dell'accesso alle cure mediche;grande abbondanza di dati dati;Dati di qualità limitata, difficoltà di azioni omogenee fra centri clinici diversi;Limitazione delle opzioni di trattamento disponibili;C
B 24. che cosa significa responsabilità algoritmica;che gli algoritmi di IA condividono la responsabilità delle scelte con i medici;che gli algoritmi sono responsabili degli eventuali danni provocati;che la responsabilità di eventuali errori non ricade sui medici;che la responsabilità di eventuali danni non può essere attribuita agli algoritmi;D
C 01. come può essere riassuno il concetto di metaverso?;Nessuna delle altre risposte è corretta;Concretamente, possiamo riassumerlo come un mondo reale, più coinvolgente, accessibile tramite un computer, o uno smartphone.;Concretamente, possiamo riassumerlo come un mondo virtuale, un Internet evoluto e più coinvolgente, accessibile tramite un computer, un visore per realtà virtuale o uno smartphone.;Concretamente, possiamo riassumerlo come un mondo accessibile tramite wathsapp con cui si comunica con il gruppo di lavoro;C
C 02. da dove deriva l'idea di metaverso?;l’idea deriva dal romanzo di fantascienza Snow Crash di Neal Stephenson del 1992, in cui l’autore caratterizzava il Metaverso come una immensa sfera nera di 65536 km di circonferenza, tagliata in due all’altezza dell’equatore, da una strada percorribile anche su di una monorotaia con 256 stazioni, ognuna a 256 km di distanza. Su questa sfera ogni persona poteva realizzare in 3D ciò che desiderava, negozi, uffici, nightclub e altro, il tutto potenzialmente visitabile dagli utenti.;l’idea deriva dal romanzo di fantascienza Snow Crash di Neal Stephenson del 1992, in cui l’autore caratterizzava il Metaverso come una immensa sfera bianca di 65536 km di circonferenza, tagliata in due all’altezza dell’equatore, da una strada percorribile anche su di una monorotaia con 256 stazioni, ognuna a 256 km di distanza. Su questa sfera bianca ogni persona poteva realizzare in 3D ciò che desiderava, negozi, uffici, nightclub e altro, il tutto potenzialmente visitabile dagli utenti.;Nessuna delle altre risposte è corretta;l’idea deriva da un'idea di Zuckerberg del 1992, in cui l’autore caratterizzava il Metaverso come una immensa sfera nera di 65536 km di circonferenza, tagliata in due all’altezza dell’equatore, da una strada percorribile anche su di una monorotaia con 256 stazioni, ognuna a 256 km di distanza. Su questa sfera ogni persona poteva realizzare in 3D ciò che desiderava, negozi, uffici, nightclub e altro, il tutto potenzialmente visitabile dagli utenti.;A
C 03. il metaverso ha molte definizioni, date da molti esperti e offrono diverse prospettive sul concetto di metaverso, ma cosa condividono tutte queste definizioni?;Queste definizioni offrono diverse prospettive sul concetto di metaverso, ma condividono elementi comuni come l'ambiente virtuale condiviso, l'interattività e la connettività tra gli utenti. Inoltre, catturano l'idea che il metaverso va oltre la semplice esperienza individuale, offrendo possibilità di socializzazione, creatività e scambio di contenuti digitali.;Queste definizioni offrono diverse prospettive sul concetto di metaverso e non hanno nulla in comune. Solo il tempo permetterà di unificare la definizione e la prospettiva;Queste definizioni offrono diverse prospettive sul concetto di metaverso, catturano l'idea che il metaverso non va oltre la semplice esperienza individuale.;Queste definizioni offrono la stessa prospettiva sul concetto di metaverso e condividono elementi comuni come l'ambiente virtuale vissuto individualmente . Inoltre, catturano l'idea che il metaverso aumenta l'espansione individuale, offrendo possibilità di creatività;A
C 04. quali sono le caratteristiche del metaverso?;isolamento, immersività, connettività,, ambiente digitale tridimensionale in cui si svolge l'esperienza virtuale;Nessuna delle altre risposte è corretta;interattività, immersività, connettività, comunicazione in tempo reale, ambiente digitale tridimensionale in cui si svolge l'esperienza virtuale;interattività, immersività, connettività, comunicazione lenta, ambiente digitale bidimensionale in cui si svolge l'esperienza virtuale;C
C 05. qual è l'obiettivo principale della realtà aumentata?;L'obiettivo principale della RA è fornire un'esperienza reale di socializzazione;L'obiettivo principale della RA è fornire un'esperienza in cui elementi virtuali e reali coesistono e interagiscono tra loro, arricchendo la nostra percezione del mondo reale.;Nessuna delle altre risposte è corretta;L'obiettivo principale della RA è fornire un'esperienza in cui elementi virtuali e reali sono nettamente separati;B
C 06. La rappresentazione spaziale e la creazione di mondi virtuali all'interno del metaverso consentono;una piccola gamma di applicazioni e opportunità, compresa la medicina, in cui possono essere sfruttate per scopi educativi, terapeutici e di collaborazione.;una vasta gamma di applicazioni e opportunità, compresa la medicina, in cui possono essere sfruttate per scopi educativi, terapeutici e di collaborazione.;Nessuna delle altre risposte è corretta;una vasta gamma di applicazioni e opportunità,tranne per la medicina, in cui possono essere sfruttate per scopi educativi, terapeutici e di collaborazione.;B
C 07. qual è la differenza tra mataverso e realtà virtuale?;Nessuna delle altre risposte è corretta;non ci sono differenze;la relazione;la connettività;D
C 08. quali sono le differenze tra metaverso e realtà aumentata;contesto di utilizzo;Ambito di esperienza Coinvolgimento degli utenti contesto di utilizzo;coinvolgimento degli utenti;ambito di esperienza;B
C 09. Il metaverso ha grandi implicazioni in medicina;nella formazione, nell’addestramento potendo creare simulazioni mediche immersive, permettendo pratiche chirurgiche virtuali e l'addestramento di emergenza e la gestione delle crisi.;nell'addestramento per l'emergenza;solo nella formazione;nelle pratiche chirurgiche;A
C 10. Le simulazioni mediche immersive offerte dal metaverso consentono;Nessuna delle altre risposte è corretta;di acquisire esperienza pratica in un ambiente virtuale realistico e sicuro.;di acquisire esperienza pratica in un ambiente reale;di acquisire esperienza teorica in un ambiente reale;B
C 11. Nel contesto della medicina, il metaverso offre anche opportunità significative;per consulenze virtuali;per la telemedicina;per la telemedicina e la consulenza virtuale.;per la raccolta dati;C
C 12. Come funziona il metaverso?;Si indossa il visore in 3d e si guarda il video immersivo a 360° successivamente su uno schermo si vedrà davanti a noi l’elenco dei video delle micro-esperienze suddivise per obiettivi di empowerment.;Si guarda un video su uno schermo e si vedrà davanti a noi l’elenco dei video delle micro-esperienze suddivise per obiettivi di empowerment.;Si indossa il visore in 3d e si guarda il video immersivo a 180° successivamente su uno schermo si vedrà davanti a noi l’elenco dei video delle micro-esperienze suddivise per obiettivi di empowerment.;Si indossa il visore in 3d e si guarda il video immersivo a 140°successivamente su uno schermo si vedrà davanti a noi l’elenco dei video delle micro-esperienze suddivise per obiettivi di empowerment.;A
C 13. L'ambiente virtuale fornisce;un'opportunità di fuga temporanea dalla realtà e può aiutare le persone a rilassarsi, a ristabilire l'equilibrio emotivo e a sviluppare strategie di gestione dello stress.;un'opportunità di immersione totale nella realtà e può aiutare le persone a ristabilire l'equilibrio emotivo e a sviluppare strategie di gestione dello stress;un'opportunità di immersione nello stress per superarlo;Nessuna delle altre risposte è corretta;A
C 14. L'implementazione del metaverso nella medicina richiede;un'attenzione particolare all'etica, alla sicurezza.;un'attenzione particolare all'etica, alla privacy .;un'attenzione particolare all'etica, alla privacy e alla sicurezza.;un'attenzione particolare alla privacy e alla sicurezza.;C
C 15. l'implementazione del metaverso nella medicina affronta diverse sfide e limitazioni legate;all'accessibilità, all'infrastruttura e all'accettazione da parte degli operatori sanitari;ai costi, all'infrastruttura e all'accettazione da parte degli operatori sanitari;all'accessibilità, ai costi, all'infrastruttura e all'accettazione da parte degli operatori sanitari;all'accessibilità, ai costi e all'accettazione da parte degli operatori sanitari;C
C 16. il metaverso;crea un ambiente digitale tridimensionale che consente ai medici, ai pazienti e agli operatori sanitari di sperimentare nuove modalità di interazione e collaborazione.;crea un ambiente digitale bidimensionale che consente ai medici, ai pazienti e agli operatori sanitari di sperimentare nuove modalità di interazione e collaborazione.;Nessuna delle altre risposte è corretta;crea un ambiente digitale tridimensionale che consente solo ai medici di sperimentare nuove modalità di interazione e collaborazione.;A
C 17. il metaverso favorisce la collaborazione;tra studenti creando un ambiente di apprendimento virtuale in cui possono condividere conoscenze e migliorare la pratica clinica;Nessuna delle altre risposte è corretta;tra studenti e professionisti della salute, creando un ambiente di apprendimento virtuale in cui possono condividere conoscenze e migliorare la pratica clinica;tra studenti epazienti, creando un ambiente di apprendimento virtuale in cui possono condividere conoscenze e migliorare la pratica clinica;C
C 18. il metaverso permette;l'accesso remoto alle cure mediche, consentendo la telemedicina e la consulenza virtuale. I pazienti possono consultare i medici da remoto, eliminando le barriere geografiche e consentendo un accesso più rapido ed efficiente alle cure mediche.;l'accesso remoto alle cure mediche, consentendo la telemedicina e la consulenza virtuale. I pazienti possono consultare telefonicamente, eliminando le barriere geografiche e consentendo un accesso più rapido ed efficiente alle cure mediche.;l'accesso remoto alle cure mediche, consentendo la telemedicina e la consulenza virtuale. I pazienti possono consultare i medici da remoto, eliminando le barriere geografiche e consentendo un accesso meno costoso alle cure mediche.;Nessuna delle altre risposte è corretta;A
C 19. le applicazioni pratiche del metaverso nella medicina offrono numerosi benefici, tra cui;un'educazione medica migliorata e un accesso facilitato alle cure mediche.;una diagnosi più accurata, trattamenti più efficaci, un'educazione medica migliorata e un accesso facilitato alle cure mediche.;trattamenti più efficaci, un'educazione medica migliorata e un accesso facilitato alle cure mediche.;una diagnosi più accurata;B
C 20. Utilizzando i modelli virtuali, i chirurghi possono;simulare l'intervento chirurgico in un ambiente virtuale, riproducendo le condizioni reali e sperimentando diverse strategie e tecniche.;simulare l'intervento chirurgico in un ambiente reale, sperimentando diverse strategie e tecniche.;Nessuna delle altre risposte è corretta;simulare l'intervento chirurgico in un ambiente virtuale, incapace di riprodurre il reale s;A
C 21. l'utilizzo del metaverso nella chirurgia assistita offre una serie di vantaggi significativi, tra cui;Nessuna delle altre risposte è corretta;solo simulazioni virtuali di intervento;evitare la pianificazione preoperatoria, simulazioni virtuali, guida in tempo reale durante l'intervento e miglioramento della sicurezza e dell'efficacia delle procedure chirurgiche;una migliore pianificazione preoperatoria, simulazioni virtuali, guida in tempo reale durante l'intervento e miglioramento della sicurezza e dell'efficacia delle procedure chirurgiche.;D
C 22. il metaverso offre;strumenti obsoleti per il monitoraggio e la gestione dei pazienti, non consentendo una migliore assistenza medica a distanza e una scarsa partecipazione dei pazienti nel processo di cura.;strumenti avanzati per il monitoraggio e la gestione dei pazienti, consentendo una migliore assistenza medica a distanza e una maggiore partecipazione dei pazienti nel processo di cura.;strumenti avanzati per il monitoraggio e la gestione dei pazienti, pur non consentendo una migliore assistenza medica a distanza e una maggiore partecipazione dei pazienti nel processo di cura.;Nessuna delle altre risposte è corretta;B
C 23. Il Metaverso prevede la convergenza di tecnologie:;realtà aumentata (AR) intelligenza artificiale (AI).;realtà virtuale (VR) realtà aumentata (AR) intelligenza artificiale (AI).;realtà virtuale (VR) realtà aumentata (AR);Nessuna delle altre risposte è corretta;B
C 24. la tecnologia XRHealth VR;consente al personale clinico di controllare l’unità da remoto e vedere esattamente ciò che il paziente sta visualizzando, senza però poter regolare le impostazioni e il trattamento in tempo reale.;Nessuna delle altre risposte è corretta;consente al personale clinico di controllare l’unità da remoto e vedere esattamente ciò che il paziente sta visualizzando, così da regolare le impostazioni e il trattamento in tempo reale.;consente al personale clinico di controllare l’unità di terapia in minor tempo;C
C 25. RelieVRx è un sistema di realtà virtuale immersiva;basato sulla terapia cognitivo-comportamentale e altri metodi comportamentali destinato ai pazienti con una diagnosi di mal di schiena cronico.;basato sulla terapia cognitivo-comportamentale e altri metodi comportamentali destinato ai pazienti con una diagnosidi artrite reumatoide;basato sulla terapia cognitivo-comportamentale e altri metodi comportamentali destinato ai pazienti con una diagnosi di mal di stomaco cronico.;basato sulla terapia cognitivo-comportamentale e altri metodi comportamentali destinato ai pazienti con una diagnosi diemicrania;A
C 26. un sistema di VR immersiva fornisce contenuti VR per le seguenti attività:;esercizi di consapevolezza esercizi di risposta al rilassamento giochi di funzionamento esecutivo.;educazione al dolore biopsicosociale allenamento della respirazione diaframmatica esercizi di consapevolezza esercizi di risposta al rilassamento giochi di funzionamento esecutivo.;educazione al dolore biopsicosociale allenamento della respirazione diaframmatica esercizi di consapevolezza;educazione al dolore biopsicosociale allenamento della respirazione diaframmatica esercizi di risposta al rilassamento;B
C 27. Nel contesto dell'implementazione del metaverso nella medicina, ci sono diverse sfide tecniche e tecnologiche che devono essere affrontate. Queste sfide riguardano principalmente;la scalabilità e la gestione delle risorse nel metaverso medico.;le limitazioni hardware e software attuali, la scalabilità e la gestione delle risorse nel metaverso medico.;la gestione delle risorse nel metaverso medico.;le limitazioni hardware e software attuali.;B
C 28. le sfide etiche inerenti il metaverso in sanità riguardano;la protezione della privacy dei pazienti e dei dati sanitari, l'equità e le disparità nell'accesso alle tecnologie immersive.;la protezione della privacy dei pazienti e dei dati sanitari, l'equità e le disparità nell'accesso alle tecnologie immersive.;il consenso informato e l'autonomia del paziente, l'equità e le disparità nell'accesso alle tecnologie immersive.;la protezione della privacy dei pazienti e dei dati sanitari, il consenso informato e l'autonomia del paziente, l'equità e le disparità nell'accesso alle tecnologie immersive.;D
C 29. Gli operatori sanitari devono essere consapevoli;delle implicazioni legali legate all'uso del metaverso nella diagnosi, nel trattamento e nella gestione dei pazienti. È necessario definire le responsabilità e le eventuali responsabilità professionali legate all'uso delle tecnologie immersive.;delle implicazioni farmacologiche legate all'uso del metaverso nel trattamento dei pazienti. È necessario definire le responsabilità e le eventuali responsabilità professionali legate all'uso delle tecnologie immersive.;delle implicazioni delle imaging nell'uso del metaverso nella diagnosi, nel trattamento e nella gestione dei pazienti. È necessario definire le responsabilità e le eventuali responsabilità professionali legate all'uso delle tecnologie immersive.;Nessuna delle altre risposte è corretta;A
C 30. nel metaverso è importante stabilire linee guida chiare;per l'autonomia del paziente nell'uso delle tecnologie immersive;per il consenso informato nell'uso delle tecnologie immersive;per il consenso informato e l'autonomia del paziente nell'uso delle tecnologie immersive;Nessuna delle altre risposte è corretta;C
C 31. la regolamentazione e la governance del metaverso medico sono cruciali per;garantire che l'uso delle tecnologie immersive nella pratica medica avvenga efficace.;garantire che l'uso delle tecnologie immersive nella pratica medica avvenga in modo sicuro, etico ed efficace.;garantire che l'uso delle tecnologie immersive nella pratica medica avvenga in modo sicuro;garantire che l'uso delle tecnologie immersive nella pratica medica avvenga in modo etico;B
C 32. Per affrontare le sfide nell'utilizzo etico del metaverso nella medicina , sono raccomandate le seguenti azioni:;Continua ricerca e sviluppo Sviluppo di linee guida e standard Formazione e sensibilizzazione Collaborazione tra le parti interessate;Continua ricerca e sviluppo Sviluppo di linee guida e standard Formazione e sensibilizzazione lavoro degli informatici;Formazione e sensibilizzazione Collaborazione tra le parti interessate;Continua ricerca e sviluppo Sviluppo di linee guida e standard;A
C 33. i vantaggi della telemedicina sono:;tutte le altre risposte sono corrette;Adozione da parte dei professionisti sanitari Aspetti legali e di privacy;Superamento delle barriere geografiche Miglioramento dell'accesso alle cure specialistiche;Riduzione dei tempi di attesa Maggiore accessibilità per persone con disabilità o mobilità ridotta;B
C 34. strumenti e tecnologie utilizzate nella telemedicina per facilitare la comunicazione tra medici e pazienti a distanza sono:;tutte le altre risposte sono corrette;Piattaforme di videoconferenza;Dispositivi di monitoraggio a distanza Cartelle cliniche elettroniche;Applicazioni mobili;A
C 35. le soluzioni di patient relationship management (è la soluzione del marketing digitale ad un problema complesso di comunicazione e interazione tra medico e paziente) che consentono un migliore rapporto con il paziente sono tipiche;della telemedicina;del rapporto telefonico;del rapporto presenziale;dell'imaging radiologica;A
C 36. Le modalità e le soluzioni necessarie per assicurare confidenzialità, integrità e disponibilità dei dati dovranno, quindi, in ogni caso essere adottate in coerenza con le misure di sicurezza espressamente previste nel;D.Leg. 50/22;D.Lgs. n. 196/2003 e nel relativo Allegato B;D.Lgs. 81/2008;D.Leg.36/ 2023;B
C 37. L'obiettivo principale della telemedicina è quello di;Nessuna delle altre risposte è corretta;fornire accesso alle cure mediche ai pazienti che si trovano a distanza dai fornitori di servizi sanitari o che hanno difficoltà ad accedere alle strutture sanitarie fisiche.;fornire accesso alle cure mediche ai pazienti che si trovanoin ospedale o si recano presso l'ambulatorio medico;fornire accesso alle cure mediche alle donne e ai bambini che si trovano a distanza dai fornitori di servizi sanitari o che hanno difficoltà ad accedere alle strutture sanitarie fisiche.;B
C 38. Utilizzando una piattaforma di collaborazione dal vivo integrata in un sistema ecografico;il medico di base può comunicare con il paziente;il chirurgo può eseguire un intervento nel metaverso;Nessuna delle altre risposte è corretta;il radiologo esperto che opera in un ospedale può assistere un collega che si trova in una località remota a eseguire l'esame.;D
C 39. Per quanto riguarda il monitoraggio remoto dei pazienti, cosa succederà?;comunicare con il medico telefonicamente;I biosensori indossabili sono in gran parte la risposta. Indossati discretamente sul torace, questi sensori possono misurare e trasmettere segni vitali come i dati respiratori e la frequenza cardiaca, nonché altri dati del paziente come la postura e il livello di attività.;utilizzare il saturimetro;misurare la glicemia in diverse ore o altro, trascrivere il valore e inviarla con email al medico diabetologo;B
C 40. Nelle Linee Guida pubblicate il 2 novembre 2022, “Linee guida per i servizi di telemedicina- requisiti funzionali e livelli di servizio”, quindi, il Governo chiarisce che “i servizi minimi che la infrastruttura regionale di telemedicina deve erogare sono i seguenti:;tutte le risposte date;teleconsulto/teleconsulenza;"telemonitoraggio; teleassistenza";televisita;A
C 41. La telemedicina può effettivamente aiutare;nelle emergenze;Nessuna delle altre risposte è corretta;nelle terapia del paziente acuto;a proseguire il follow-up a distanza di pazienti con patologie croniche, nelle visite in cui il medico deve visualizzare per lo più esami di laboratorio e strumentali eseguiti per valutare l’effettivo stato di salute del malato.;D
C 42. LA TELEMEDICINA COSA CONSENTE DI ABILITARE?;Modello di «Social Networking» per incrementare la consapevolezza (empowerment) dei pazienti con l’obiettivo di favorire la definizione di un modello di rapporto medico-paziente maggiormente paritario, critico e collaborativo;Sistemi di assistenza sanitaria personalizzata e «tecno assistita» per acquisire e memorizzare informazioni riferite alle condizioni di salute e/o sullo stile di vita dei pazienti direttamente presso gli ambiti domestici;Nuovi modelli di cooperazione tra gli attori coinvolti e basati sul contesto. Processi a supporto dei processi diagnostici ed organizzativi con l’obiettivo di favorire i percorsi di cura e follow-up al di fuori delle strutture ospedaliere e/o dei centri di cura specializzati;tutte le altre risposte sono corrette;D
C 43. Il monitoraggio continuo;consentirà l’individuazione tempestiva di criticità;è uno spreco per il SSn;è da considerarsi inutile;è utile solo per i pazienti dell'era digitale;A
C 44. I servizi di telemedicina, in particolare puntano a:;ridurre il costo della cura del paziente.;"ridurre il numero di giorni di degenza ospedaliera; razionalizzare le decisioni attraverso la consultazione a distanza con gli specialisti;";tutte le altre risposte sono corrette;"intervenire in una fase precoce della malattia attraverso il monitoraggio, e quindi ridurre il tasso d’aggravamento e di mortalità;";C
C 45. il “Modello digitale per l’attuazione dell’assistenza domiciliare” può costituire;un netto miglioramento per l’organizzazione sanitaria e di conseguenza per il benessere dei cittadini.;un fatto negativo per l’organizzazione sanitaria e di conseguenza per il benessere dei cittadini.;un costo aggiuntivo per il SSN;un peggioramento del rapporta paziente-medico;A
C 46. Il nuovo FSE è;è molto semplice e non ha quindi bisogno di un grande piano di formazione rivolto a chi lo progetta, lo usa e lo amministra;è pieno di dati, di informazioni e non è utile né ai cittadini né ai medici;complesso e difficile, pieno di dati, di informazioni e di risorse (servizi) e ha quindi bisogno di un grande piano di formazione rivolto a chi lo progetta, lo usa e lo amministra;è complesso e difficile, pieno di dati, di informazioni e di risorse (servizi), ma non bisogno di un grande piano di formazione;D
C 47. tra i progetti del PNRR si includono;"Educazione al Digitale dove il settore pubblico e quello privato investono per l’accrescimento culturale rispetto al medium dematerializzato;";"Cittadinanza Digitale, per un’interazione civica tra cittadini e Pubblica Amministrazione nell’ottica del superamento delle diseguaglianze e di principi quali l’open government;";tutte le altre risposte sono corrette;Digitale etico, umano e non discriminatorio per l’uguaglianza tra i cittadini nell’utilizzo dei servizi pubblici e privati digitali;C
